Community,2013,2014,2015,2016,2017
STRATHCONA PARK                         ,"6,958","7,140","7,089","7,083","7,043"
SUNALTA                                 ,"3,271","3,395","3,454","3,333","3,192"
SUNDANCE                                ,"10,378","10,364","10,216","10,040","9,994"
SUNNYSIDE                               ,"3,706","3,848","3,852","3,990","4,206"
SUNRIDGE                                ,65,96,86,58,46
TARADALE                                ,"17,643","18,681","19,223","18,852","18,925"
TEMPLE                                  ,"11,048","11,303","11,433","11,142","11,162"
THORNCLIFFE                             ,"8,788","8,838","8,931","8,851","8,474"
TUSCANY                                 ,"19,307","19,465","19,737","19,662","19,659"
TUXEDO PARK                             ,"4,898","4,878","5,119","4,988","4,983"
UNIVERSITY DISTRICT,,,,780,667
UNIVERSITY HEIGHTS                      ,"3,018","3,016","3,020","2,876","2,751"
UNIVERSITY OF CALGARY                   ,"2,812","2,841","2,968","2,248","2,057"
UPPER MOUNT ROYAL                       ,"2,624","2,609","2,510","2,513","2,467"
VALLEYFIELD                             ,0,0,0,0,0
VALLEY RIDGE                            ,"5,276","5,518","5,702","5,659","5,622"
VARSITY                                 ,"12,265","12,553","12,669","12,612","12,525"
VISTA HEIGHTS                           ,"2,256","2,336","2,444","2,286","2,302"
WALDEN                                  ,"1,617","2,181","3,076","3,859","4,669"
WESTGATE                                ,"3,123","3,219","3,201","3,172","3,193"
WEST HILLHURST                          ,"5,967","6,299","6,409","6,449","6,338"
WEST SPRINGS,"8,575","9,086","9,529","9,785","10,031"
WHITEHORN                               ,"12,035","12,326","12,421","12,374","11,985"
WILDWOOD                                ,"2,631","2,700","2,679","2,583","2,629"
WILLOW PARK                             ,"5,359","5,440","5,423","5,353","5,356"
WINDSOR PARK                            ,"4,121","4,417","4,501","4,351","4,270"
WINSTON HEIGHTS/MOUNTVIEW               ,"3,858","3,845","4,035","3,844","3,835"
WOODBINE                                ,"9,174","9,162","9,145","8,998","8,959"
WOODLANDS                               ,"6,202","6,237","6,229","6,105","6,111"
RESIDUAL WARD 1,320,354,518,349,381
RESIDUAL WARD 2,"1,186","1,451","1,151","1,167","1,261"
RESIDUAL WARD 3,67,66,72,61,36
RESIDUAL WARD 4,7,0,0,0,0
RESIDUAL WARD 5,30,32,28,23,21
RESIDUAL WARD 6,45,41,42,38,39
RESIDUAL WARD 7,0,0,0,0,0
RESIDUAL WARD 8,0,0,0,0,0
RESIDUAL WARD 9,52,49,29,40,755
RESIDUAL WARD 10,785,785,831,805,47
RESIDUAL WARD 11,5,4,5,0,6
RESIDUAL WARD 12,325,320,312,294,317
RESIDUAL WARD 13,70,62,56,54,98
RESIDUAL WARD 14,65,62,68,50,0
,"1,149,552","1,195,194","1,230,915","1,235,171","1,246,337"
